id_venta,fecha,id_cliente,id_vendedor,id_producto,tipo_producto,cantidad,precio_unitario,importe
74,24/04/2026,264,127,31,gafas,3,89.9,269.7
75,22/03/2026,1076,117,23,gafas,2,59.9,119.8
76,16/09/2025,1543,36,201,gafas,3,109.9,329.7
77,3/06/2025,514,103,91,gafas,3,139.9,419.7
78,23/05/2025,2665,62,1024,lentillas,2,25.5,51
79,24/04/2026,1079,120,1046,lentillas,1,16.5,16.5
80,5/04/2026,1669,25,99,gafas,1,84.9,84.9
81,1/02/2025,1404,34,194,gafas,2,99.9,199.8
82,14/06/2025,1353,120,73,gafas,3,99.9,299.7
83,30/03/2025,2998,121,40,gafas,1,79.9,79.9
84,10/04/2026,2484,18,161,gafas,1,79.9,79.9
85,25/06/2025,1493,123,1002,lentillas,3,54.5,163.5
86,26/04/2025,2638,35,197,gafas,3,119.9,359.7
87,24/02/2026,1322,89,185,gafas,2,64.9,129.8
88,24/04/2026,1120,24,195,gafas,1,99.9,99.9
89,5/07/2025,795,110,27,gafas,3,59.9,179.7
90,9/04/2025,2589,123,24,gafas,1,49.9,49.9
91,7/11/2025,61,61,10,gafas,1,79.9,79.9
92,28/02/2025,1815,34,133,gafas,3,99.9,299.7
93,5/09/2025,1661,17,1032,lentillas,1,24,24
94,6/05/2025,1612,105,126,gafas,3,49.9,149.7
95,21/03/2025,1912,131,129,gafas,3,79.9,239.7
96,24/04/2026,1061,102,83,gafas,3,109.9,329.7
97,21/11/2025,1995,77,85,gafas,1,109.9,109.9
98,22/01/2025,157,20,70,gafas,1,89.9,89.9
99,17/06/2025,2832,92,1025,lentillas,3,16.5,49.5
100,29/12/2025,2538,72,1027,lentillas,1,16.5,16.5
101,13/08/2025,1321,88,39,gafas,3,79.9,239.7
102,8/06/2025,813,128,72,gafas,2,89.9,179.8
103,9/10/2025,2129,74,154,gafas,1,139.9,139.9
104,15/06/2025,1846,65,104,gafas,1,84.9,84.9
105,16/11/2025,1038,79,111,gafas,2,84.9,169.8
106,11/03/2026,724,39,70,gafas,1,89.9,89.9
107,1/05/2025,2513,47,1052,lentillas,3,10,30
108,25/08/2025,2785,45,1055,lentillas,1,19,19
109,31/01/2026,1271,38,142,gafas,3,49.9,149.7
110,17/03/2025,2454,125,1049,lentillas,1,19.9,19.9
111,19/01/2026,1222,126,1018,lentillas,2,16.5,33
112,24/04/2026,1844,63,21,gafas,2,49.9,99.8
113,18/01/2025,2310,118,95,gafas,2,89.9,179.8
114,29/10/2025,232,95,75,gafas,1,99.9,99.9
115,24/04/2026,795,110,157,gafas,2,139.9,279.8
116,24/04/2026,2818,78,1001,lentillas,2,30.5,61
117,18/05/2025,1255,22,196,gafas,3,119.9,359.7
118,8/12/2025,349,75,107,gafas,1,84.9,84.9
119,12/05/2025,2847,107,121,gafas,2,49.9,99.8
120,12/02/2025,2499,33,194,gafas,3,99.9,299.7
121,21/07/2025,161,24,87,gafas,2,109.9,219.8
122,14/01/2026,657,109,1010,lentillas,3,6,18
123,21/10/2025,1342,109,122,gafas,2,49.9,99.8
124,16/12/2025,119,119,152,gafas,1,99.9,99.9
125,4/04/2026,2283,91,112,gafas,3,64.9,194.7
126,19/06/2025,2555,89,72,gafas,1,89.9,89.9
127,10/05/2025,2502,36,145,gafas,3,79.9,239.7
128,13/06/2025,1047,88,198,gafas,1,119.9,119.9
129,8/04/2025,1129,33,107,gafas,2,84.9,169.8
130,17/09/2025,2135,80,41,gafas,1,59.9,59.9
131,7/08/2025,2640,37,67,gafas,2,89.9,179.8
132,13/03/2025,2484,18,129,gafas,3,79.9,239.7
133,8/06/2025,1128,32,95,gafas,3,89.9,269.7
134,20/04/2025,2325,133,203,gafas,3,129.9,389.7
135,12/03/2025,1539,32,73,gafas,2,99.9,199.8
136,26/01/2026,72,72,153,gafas,3,99.9,299.7
137,29/03/2025,1826,45,174,gafas,2,84.9,169.8
138,16/04/2026,1411,41,191,gafas,1,69.9,69.9
139,27/02/2025,1301,68,58,gafas,2,29.9,59.8
140,7/08/2025,2652,49,32,gafas,3,69.9,209.7
141,22/11/2025,2447,118,1046,lentillas,3,16.5,49.5
142,1/02/2025,2003,85,133,gafas,3,99.9,299.7
143,20/02/2025,2897,20,64,gafas,1,89.9,89.9
144,8/04/2025,641,93,177,gafas,3,84.9,254.7
145,24/04/2026,1456,86,1045,lentillas,3,16.5,49.5
146,13/01/2026,1172,76,92,gafas,3,139.9,419.7
147,17/01/2025,339,65,64,gafas,3,89.9,269.7
148,15/06/2025,1264,31,77,gafas,3,99.9,299.7
149,19/03/2026,879,57,18,gafas,3,59.9,179.7
150,31/03/2025,2971,94,34,gafas,1,89.9,89.9
151,24/04/2026,842,20,1040,lentillas,3,16.5,49.5
152,27/08/2025,2145,90,137,gafas,3,49.9,149.7
153,13/04/2026,1453,83,1052,lentillas,1,10,10
154,20/09/2025,1801,20,164,gafas,1,89.9,89.9
155,10/05/2025,2257,65,56,gafas,2,29.9,59.8
156,2/05/2025,2323,131,151,gafas,2,99.9,199.8
157,24/04/2026,1358,125,176,gafas,1,84.9,84.9
158,8/01/2025,1596,89,133,gafas,2,99.9,199.8
159,24/06/2025,1349,116,173,gafas,1,64.9,64.9
160,28/02/2025,846,24,17,gafas,2,59.9,119.8
161,31/01/2025,313,39,142,gafas,1,49.9,49.9
162,24/04/2025,2874,134,128,gafas,1,79.9,79.9
163,16/12/2025,1136,40,60,gafas,3,29.9,89.7
164,28/11/2025,1848,67,182,gafas,1,84.9,84.9
165,24/04/2026,35,35,55,gafas,3,29.9,89.7
166,15/11/2025,1079,120,105,gafas,3,84.9,254.7
167,24/10/2025,1589,82,40,gafas,3,79.9,239.7
168,24/04/2026,668,120,151,gafas,3,99.9,299.7
169,3/11/2025,2393,64,1005,lentillas,2,52.5,105
170,19/05/2025,2191,136,115,gafas,2,49.9,99.8
171,29/01/2025,2741,1,13,gafas,1,49.9,49.9
172,16/02/2026,61,61,69,gafas,1,89.9,89.9
173,12/01/2026,1793,12,55,gafas,3,29.9,89.7
174,2/09/2025,1944,26,75,gafas,2,99.9,199.8
175,1/09/2025,315,41,73,gafas,2,99.9,199.8
176,15/10/2025,532,121,157,gafas,2,139.9,279.8
177,24/04/2026,2501,35,1037,lentillas,1,16.5,16.5
178,23/07/2025,2201,9,161,gafas,1,79.9,79.9
179,24/08/2025,47,47,84,gafas,1,109.9,109.9
180,24/04/2026,510,99,165,gafas,1,84.9,84.9
181,20/01/2025,2695,92,187,gafas,1,89.9,89.9
182,19/04/2025,444,33,97,gafas,2,84.9,169.8
183,22/12/2025,1044,85,1018,lentillas,2,16.5,33
184,18/07/2025,531,120,101,gafas,1,64.9,64.9
185,22/01/2025,1413,43,1010,lentillas,2,6,12
186,15/04/2025,1678,34,1012,lentillas,2,5,10
187,14/04/2026,2272,80,78,gafas,2,99.9,199.8
188,15/12/2025,1061,102,48,gafas,3,59.9,179.7
189,17/05/2025,2276,84,1046,lentillas,3,16.5,49.5
190,25/03/2026,1230,134,77,gafas,3,99.9,299.7
191,18/10/2025,514,103,172,gafas,1,64.9,64.9
192,26/11/2025,2884,7,191,gafas,2,69.9,139.8
193,26/12/2025,2292,100,1013,lentillas,1,45.5,45.5
194,11/01/2025,988,29,123,gafas,3,49.9,149.7
195,8/06/2025,1139,43,70,gafas,1,89.9,89.9
196,17/03/2026,1940,22,7,gafas,3,89.9,269.7
197,3/02/2025,1250,17,169,gafas,2,84.9,169.8
198,26/06/2025,2871,131,214,gafas,2,79.9,159.8
199,22/12/2025,198,61,1027,lentillas,3,16.5,49.5
200,27/01/2025,39,39,154,gafas,2,139.9,279.8
201,24/04/2026,2457,128,174,gafas,2,84.9,169.8
202,2/02/2026,1320,87,109,gafas,1,84.9,84.9
203,17/08/2025,2748,8,53,gafas,3,49.9,149.7
204,15/03/2025,2668,65,35,gafas,3,89.9,269.7
205,6/02/2026,1735,91,214,gafas,3,79.9,239.7
206,21/04/2026,2022,104,101,gafas,3,64.9,194.7
207,15/05/2025,2521,55,30,gafas,1,59.9,59.9
208,10/03/2026,2064,9,89,gafas,1,139.9,139.9
209,28/06/2025,1993,75,213,gafas,1,79.9,79.9
210,5/10/2025,682,134,130,gafas,3,89.9,269.7
211,28/03/2026,246,109,148,gafas,2,99.9,199.8
212,22/04/2025,451,40,117,gafas,2,49.9,99.8
213,8/03/2026,909,87,177,gafas,3,84.9,254.7
214,25/02/2026,411,137,131,gafas,1,89.9,89.9
215,14/10/2025,518,107,206,gafas,3,129.9,389.7
216,19/09/2025,1330,97,89,gafas,3,139.9,419.7
217,12/02/2025,1625,118,117,gafas,3,49.9,149.7
218,20/02/2026,285,11,1012,lentillas,3,5,15
219,20/11/2025,100,100,9,gafas,1,79.9,79.9
220,3/08/2025,380,106,143,gafas,1,79.9,79.9
221,18/02/2025,869,47,133,gafas,2,99.9,199.8
222,14/01/2026,1902,121,8,gafas,1,79.9,79.9
223,6/08/2025,924,102,50,gafas,3,49.9,149.7
224,27/01/2026,986,27,1026,lentillas,3,16.5,49.5
225,21/05/2025,1392,22,3,gafas,3,69.9,209.7
226,14/03/2025,1914,133,210,gafas,1,69.9,69.9
227,12/11/2025,1215,119,55,gafas,3,29.9,89.7
228,26/01/2026,2504,38,1051,lentillas,1,39.5,39.5
229,28/01/2025,614,66,60,gafas,1,29.9,29.9
230,19/07/2025,2983,106,59,gafas,1,29.9,29.9
231,25/08/2025,2547,81,67,gafas,2,89.9,179.8
232,9/02/2025,416,5,12,gafas,1,49.9,49.9
233,22/04/2025,941,119,24,gafas,1,49.9,49.9
234,29/11/2025,951,129,1046,lentillas,2,16.5,33
235,27/09/2025,2106,51,205,gafas,3,129.9,389.7
236,18/02/2025,751,66,78,gafas,3,99.9,299.7
237,6/01/2025,2031,113,160,gafas,2,89.9,179.8
238,24/04/2026,1364,131,39,gafas,1,79.9,79.9
239,18/03/2026,570,22,190,gafas,2,69.9,139.8
240,17/11/2025,2233,41,26,gafas,1,49.9,49.9
241,25/10/2025,2010,92,60,gafas,1,29.9,29.9
242,11/08/2025,1845,64,98,gafas,1,84.9,84.9
243,31/01/2025,2997,120,1021,lentillas,1,73.5,73.5
244,16/01/2025,1259,26,146,gafas,3,79.9,239.7
245,11/06/2025,2283,91,75,gafas,3,99.9,299.7
246,15/03/2026,1608,101,1019,lentillas,1,16.5,16.5
247,9/04/2026,1807,26,183,gafas,2,64.9,129.8
248,25/08/2025,2104,49,55,gafas,3,29.9,89.7
249,25/08/2025,71,71,142,gafas,2,49.9,99.8
250,15/03/2026,40,40,1013,lentillas,1,45.5,45.5
251,8/02/2025,2805,65,12,gafas,2,49.9,99.8
252,7/07/2025,2828,88,1017,lentillas,1,16.5,16.5
253,11/06/2025,2936,59,11,gafas,2,79.9,159.8
254,15/11/2025,1875,94,134,gafas,2,99.9,199.8
255,6/08/2025,1396,26,31,gafas,1,89.9,89.9
256,4/04/2025,838,16,38,gafas,3,79.9,239.7
257,6/10/2025,649,101,100,gafas,1,64.9,64.9
258,27/12/2025,1574,67,34,gafas,3,89.9,269.7
259,24/04/2026,760,75,57,gafas,1,29.9,29.9
260,26/06/2025,421,10,122,gafas,1,49.9,49.9
261,15/03/2026,1448,78,66,gafas,1,89.9,89.9
262,26/02/2026,1923,5,58,gafas,1,29.9,29.9
263,28/08/2025,532,121,1048,lentillas,1,19.9,19.9
264,6/12/2025,2290,98,205,gafas,2,129.9,259.8
265,24/04/2026,2071,16,118,gafas,1,49.9,49.9
266,7/05/2025,1299,66,1034,lentillas,2,34,68
267,11/01/2026,978,19,136,gafas,3,49.9,149.7
268,5/01/2026,2853,113,186,gafas,1,89.9,89.9
269,6/10/2025,737,52,159,gafas,2,89.9,179.8
270,9/11/2025,1310,77,143,gafas,2,79.9,159.8
271,12/07/2025,1945,27,209,gafas,2,69.9,139.8
272,19/02/2025,509,98,116,gafas,1,49.9,49.9
273,24/04/2026,1146,50,44,gafas,2,69.9,139.8
274,16/04/2026,1833,52,112,gafas,3,64.9,194.7
275,7/12/2025,492,81,160,gafas,2,89.9,179.8
276,28/06/2025,2216,24,79,gafas,2,79.9,159.8
277,24/06/2025,1500,130,1009,lentillas,3,7.5,22.5
278,10/07/2025,2193,1,212,gafas,2,79.9,159.8
279,18/02/2025,2041,123,39,gafas,1,79.9,79.9
280,24/04/2026,2311,119,192,gafas,1,45.9,45.9
281,30/03/2026,2732,129,213,gafas,1,79.9,79.9
282,17/02/2025,1929,11,136,gafas,2,49.9,99.8
283,1/01/2026,2304,112,1012,lentillas,1,5,5
284,17/12/2025,2775,35,75,gafas,1,99.9,99.9
285,16/03/2026,2016,98,81,gafas,2,79.9,159.8
286,24/04/2026,699,14,160,gafas,1,89.9,89.9
287,14/12/2025,866,44,135,gafas,3,49.9,149.7
288,10/03/2025,1138,42,123,gafas,3,49.9,149.7
289,8/02/2026,1189,93,31,gafas,1,89.9,89.9
290,22/05/2025,644,96,5,gafas,1,89.9,89.9
291,10/01/2025,493,82,1008,lentillas,1,7.5,7.5
292,4/02/2025,504,93,83,gafas,1,109.9,109.9
293,18/04/2025,2620,17,141,gafas,1,49.9,49.9
294,6/01/2025,433,22,123,gafas,2,49.9,99.8
295,22/11/2025,2154,99,1009,lentillas,3,7.5,22.5
296,4/03/2026,1285,52,125,gafas,1,49.9,49.9
297,2/08/2025,660,112,4,gafas,1,89.9,89.9
298,24/01/2026,45,45,118,gafas,3,49.9,149.7
299,20/01/2026,969,10,144,gafas,2,79.9,159.8
300,23/10/2025,566,18,37,gafas,2,79.9,159.8
301,19/02/2026,441,30,174,gafas,2,84.9,169.8
302,23/12/2025,37,37,6,gafas,1,89.9,89.9
303,28/03/2025,1752,108,1043,lentillas,3,49.5,148.5
304,5/04/2026,2937,60,1015,lentillas,2,22.5,45
305,5/02/2026,2627,24,178,gafas,3,64.9,194.7
306,8/10/2025,1873,92,1050,lentillas,2,33,66
307,24/04/2026,911,89,1007,lentillas,1,10,10
308,20/04/2026,856,34,178,gafas,2,64.9,129.8
309,12/01/2026,2544,78,134,gafas,1,99.9,99.9
310,24/04/2026,303,29,35,gafas,1,89.9,89.9
311,18/02/2025,1375,5,95,gafas,3,89.9,269.7
312,22/01/2026,2520,54,1007,lentillas,1,10,10
313,27/04/2025,41,41,165,gafas,1,84.9,84.9
314,23/01/2026,2881,4,194,gafas,1,99.9,99.9
315,15/05/2025,2805,65,133,gafas,2,99.9,199.8
316,24/04/2026,360,86,84,gafas,3,109.9,329.7
317,4/12/2025,2528,62,192,gafas,3,45.9,137.7
318,5/12/2025,2032,114,37,gafas,3,79.9,239.7
319,24/04/2026,2196,4,123,gafas,3,49.9,149.7
320,30/05/2025,1913,132,1029,lentillas,2,39,78
321,17/05/2025,2127,72,179,gafas,2,84.9,169.8
322,28/12/2025,2979,102,155,gafas,2,139.9,279.8
323,3/04/2025,2037,119,57,gafas,3,29.9,89.7
324,12/11/2025,217,80,130,gafas,2,89.9,179.8
325,1/03/2026,2776,36,22,gafas,2,49.9,99.8
326,25/10/2025,2162,107,106,gafas,1,84.9,84.9
327,4/10/2025,87,87,115,gafas,3,49.9,149.7
328,3/11/2025,785,100,83,gafas,1,109.9,109.9
329,25/02/2025,2292,100,1031,lentillas,3,44,132
330,7/01/2025,220,83,62,gafas,1,89.9,89.9
331,22/11/2025,1862,81,148,gafas,1,99.9,99.9
332,4/07/2025,2451,122,167,gafas,3,84.9,254.7
333,15/07/2025,2726,123,23,gafas,3,59.9,179.7
334,7/03/2026,2077,22,190,gafas,1,69.9,69.9
335,10/06/2025,1096,137,109,gafas,3,84.9,254.7
336,26/03/2026,1040,81,1030,lentillas,1,44,44
337,26/07/2025,407,133,1055,lentillas,1,19,19
338,27/10/2025,1091,132,139,gafas,3,49.9,149.7
339,24/04/2026,1527,20,109,gafas,2,84.9,169.8
340,24/04/2026,2146,91,132,gafas,1,99.9,99.9
341,17/01/2026,1605,98,1028,lentillas,2,16.5,33
342,30/06/2025,1814,33,211,gafas,1,79.9,79.9
343,8/12/2025,1427,57,145,gafas,2,79.9,159.8
344,28/01/2025,710,25,143,gafas,3,79.9,239.7
345,19/08/2025,2334,5,54,gafas,2,49.9,99.8
346,3/02/2025,342,68,65,gafas,2,79.9,159.8
347,29/03/2026,2144,89,1036,lentillas,1,16.5,16.5
348,2/06/2025,2105,50,159,gafas,1,89.9,89.9
349,29/06/2025,2590,124,1052,lentillas,3,10,30
350,6/08/2025,1755,111,210,gafas,2,69.9,139.8
351,2/03/2026,733,48,167,gafas,1,84.9,84.9
352,24/10/2025,2438,109,1,gafas,3,89.9,269.7
353,5/09/2025,1535,28,129,gafas,1,79.9,79.9
354,9/03/2026,181,44,41,gafas,3,59.9,179.7
355,8/05/2025,1696,52,48,gafas,3,59.9,179.7
356,15/08/2025,2749,9,59,gafas,1,29.9,29.9
357,3/01/2025,1994,76,69,gafas,2,89.9,179.8
358,16/02/2026,996,37,136,gafas,3,49.9,149.7
359,26/11/2025,2648,45,1016,lentillas,1,31,31
360,6/02/2025,2924,47,179,gafas,1,84.9,84.9
361,21/04/2026,95,95,1033,lentillas,1,66.5,66.5
362,27/04/2025,145,8,63,gafas,3,89.9,269.7
363,21/03/2026,917,95,162,gafas,1,79.9,79.9
364,1/02/2025,2246,54,1036,lentillas,2,16.5,33
365,27/08/2025,1224,128,1005,lentillas,1,52.5,52.5
366,10/04/2025,2301,109,154,gafas,1,139.9,139.9
367,1/07/2025,2610,7,78,gafas,1,99.9,99.9
368,8/01/2026,343,69,116,gafas,3,49.9,149.7
369,31/01/2026,291,17,140,gafas,3,49.9,149.7
370,30/12/2025,1690,46,187,gafas,2,89.9,179.8
371,28/12/2025,2812,72,27,gafas,3,59.9,179.7
372,10/01/2025,1850,69,38,gafas,2,79.9,159.8
373,4/04/2026,1044,85,130,gafas,3,89.9,269.7
374,10/09/2025,2449,120,195,gafas,3,99.9,299.7
375,24/04/2026,850,28,78,gafas,3,99.9,299.7
376,22/03/2026,2185,130,117,gafas,3,49.9,149.7
377,10/03/2025,2403,74,28,gafas,3,59.9,179.7
378,17/08/2025,389,115,69,gafas,2,89.9,179.8
379,30/03/2026,1016,57,12,gafas,2,49.9,99.8
380,29/01/2025,2097,42,30,gafas,1,59.9,59.9
381,16/07/2025,1727,83,208,gafas,1,69.9,69.9
382,11/11/2025,412,1,170,gafas,2,84.9,169.8
383,17/02/2026,1808,27,82,gafas,3,79.9,239.7
384,17/07/2025,598,50,1039,lentillas,1,16.5,16.5
385,24/04/2026,1832,51,1044,lentillas,2,88.5,177
386,11/05/2025,320,46,29,gafas,3,59.9,179.7
387,8/11/2025,2844,104,68,gafas,1,89.9,89.9
388,25/12/2025,1506,136,212,gafas,1,79.9,79.9
389,24/04/2026,2209,17,147,gafas,1,99.9,99.9
390,21/10/2025,2499,33,110,gafas,1,84.9,84.9
391,26/03/2025,2171,116,47,gafas,3,59.9,179.7
392,22/01/2026,1518,11,1044,lentillas,2,88.5,177
393,17/08/2025,1770,126,1027,lentillas,3,16.5,49.5
394,7/01/2025,477,66,180,gafas,3,84.9,254.7
395,19/09/2025,1358,125,19,gafas,2,89.9,179.8
396,3/07/2025,666,118,176,gafas,1,84.9,84.9
397,25/05/2025,2772,32,131,gafas,2,89.9,179.8
398,21/02/2026,724,39,90,gafas,1,139.9,139.9
399,4/02/2025,1423,53,178,gafas,3,64.9,194.7
400,20/02/2025,668,120,1038,lentillas,3,16.5,49.5
401,9/01/2025,2483,17,191,gafas,2,69.9,139.8
402,2/04/2025,91,91,144,gafas,1,79.9,79.9
403,24/04/2026,2985,108,1015,lentillas,3,22.5,67.5
404,31/03/2025,2204,12,128,gafas,3,79.9,239.7
405,5/04/2025,2747,7,145,gafas,3,79.9,239.7
406,3/06/2025,2220,28,53,gafas,2,49.9,99.8
407,4/02/2025,888,66,202,gafas,2,99.9,199.8
408,30/03/2025,1122,26,55,gafas,1,29.9,29.9
409,10/01/2026,2598,132,87,gafas,2,109.9,219.8
410,21/03/2026,2149,94,71,gafas,2,89.9,179.8
411,22/04/2026,1689,45,1018,lentillas,3,16.5,49.5
412,6/05/2025,2798,58,115,gafas,2,49.9,99.8
413,9/02/2026,2514,48,23,gafas,3,59.9,179.7
414,13/12/2025,2192,137,1052,lentillas,2,10,20
415,15/10/2025,1898,117,211,gafas,3,79.9,239.7
416,11/02/2026,869,47,1012,lentillas,3,5,15
417,23/11/2025,953,131,96,gafas,2,84.9,169.8
418,17/03/2025,1627,120,74,gafas,2,99.9,199.8
419,22/09/2025,2884,7,124,gafas,2,49.9,99.8
420,6/11/2025,1313,80,192,gafas,2,45.9,91.8
421,20/03/2026,2771,31,1027,lentillas,2,16.5,33
422,24/04/2026,545,134,161,gafas,3,79.9,239.7
423,28/02/2025,1863,82,57,gafas,2,29.9,59.8
424,3/06/2025,1198,102,51,gafas,3,59.9,179.7
425,22/03/2026,909,87,59,gafas,1,29.9,29.9
426,16/06/2025,2044,126,89,gafas,2,139.9,279.8
427,11/01/2026,2792,52,1041,lentillas,1,16.5,16.5
428,24/03/2026,2820,80,122,gafas,3,49.9,149.7
429,14/10/2025,1015,56,140,gafas,3,49.9,149.7
430,23/01/2026,2266,74,152,gafas,3,99.9,299.7
431,11/11/2025,496,85,67,gafas,3,89.9,269.7
432,15/03/2025,1458,88,83,gafas,2,109.9,219.8
433,1/04/2025,2379,50,1054,lentillas,2,15.5,31
434,17/01/2025,2103,48,190,gafas,2,69.9,139.8
435,28/05/2025,740,55,25,gafas,1,49.9,49.9
436,28/03/2025,1639,132,205,gafas,2,129.9,259.8
437,5/06/2025,1426,56,186,gafas,3,89.9,269.7
438,23/10/2025,1085,126,30,gafas,3,59.9,179.7
439,22/10/2025,180,43,201,gafas,3,109.9,329.7
440,27/02/2025,840,18,1035,lentillas,3,16.5,49.5
441,15/04/2026,2640,37,212,gafas,3,79.9,239.7
442,11/07/2025,2012,94,1014,lentillas,3,64.5,193.5
443,29/04/2025,2091,36,1052,lentillas,2,10,20
444,5/11/2025,513,102,14,gafas,2,49.9,99.8
445,5/07/2025,494,83,46,gafas,2,59.9,119.8
446,1/05/2025,177,40,27,gafas,1,59.9,59.9
447,23/02/2026,460,49,161,gafas,1,79.9,79.9
448,26/08/2025,1065,106,1035,lentillas,1,16.5,16.5
449,16/02/2025,1779,135,120,gafas,2,49.9,99.8
450,25/01/2026,1673,29,1012,lentillas,3,5,15
451,27/10/2025,1504,134,1051,lentillas,1,39.5,39.5
452,22/04/2026,597,49,150,gafas,2,109.9,219.8
453,17/07/2025,2262,70,171,gafas,3,64.9,194.7
454,9/02/2025,560,12,98,gafas,3,84.9,254.7
455,10/04/2026,2109,54,184,gafas,2,84.9,169.8
456,24/04/2026,2892,15,37,gafas,1,79.9,79.9
457,26/06/2025,269,132,138,gafas,3,49.9,149.7
458,31/10/2025,2259,67,106,gafas,1,84.9,84.9
459,13/12/2025,2819,79,1021,lentillas,2,73.5,147
460,21/02/2026,1693,49,101,gafas,3,64.9,194.7
461,21/04/2025,2193,1,30,gafas,3,59.9,179.7
462,2/11/2025,541,130,13,gafas,3,49.9,149.7
463,2/04/2025,936,114,84,gafas,1,109.9,109.9
464,15/02/2025,1688,44,122,gafas,3,49.9,149.7
465,3/03/2026,2742,2,7,gafas,1,89.9,89.9
466,28/03/2025,162,25,1011,lentillas,1,6.5,6.5
467,10/09/2025,767,82,1042,lentillas,3,16.5,49.5
